Format Version,1.21,Take Name,Take 2020-08-25 04.42.30 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 04.42.30 PM,Total Frames in Take,27713,Total Exported Frames,27713,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
283,2.358333,0.083086,0.003761,-0.069771,0.092886,0.244052,0.013626
284,2.366667,0.083089,0.003755,-0.069760,0.092886,0.244049,0.013624
285,2.375000,0.083093,0.003756,-0.069773,0.092889,0.244044,0.013635
286,2.383333,0.083088,0.003768,-0.069766,0.092884,0.244054,0.013639
287,2.391667,0.083088,0.003768,-0.069760,0.092887,0.244058,0.013630
288,2.400000,0.083094,0.003757,-0.069771,0.092893,0.244053,0.013615
289,2.408333,0.083090,0.003752,-0.069787,0.092885,0.244045,0.013623
290,2.416667,0.083088,0.003760,-0.069765,0.092885,0.244043,0.013654
291,2.425000,0.083093,0.003764,-0.069765,0.092893,0.244057,0.013623
292,2.433333,0.083089,0.003761,-0.069790,0.092886,0.244061,0.013607
293,2.441667,0.083091,0.003761,-0.069759,0.092889,0.244045,0.013648
294,2.450000,0.083091,0.003761,-0.069759,0.092889,0.244045,0.013648
295,2.458333,0.083092,0.003756,-0.069782,0.092892,0.244055,0.013612
296,2.466667,0.083086,0.003758,-0.069766,0.092886,0.244052,0.013629
297,2.475000,0.083091,0.003762,-0.069751,0.092890,0.244048,0.013647
298,2.483333,0.083091,0.003762,-0.069779,0.092892,0.244059,0.013619
299,2.491667,0.083090,0.003761,-0.069783,0.092885,0.244059,0.013614
300,2.500000,0.083089,0.003754,-0.069757,0.092883,0.244044,0.013636
301,2.508333,0.083090,0.003754,-0.069778,0.092887,0.244045,0.013633
302,2.516667,0.083090,0.003763,-0.069784,0.092889,0.244056,0.013624
303,2.525000,0.083089,0.003767,-0.069767,0.092887,0.244054,0.013641
304,2.533333,0.083094,0.003760,-0.069774,0.092891,0.244054,0.013625
305,2.541667,0.083092,0.003754,-0.069778,0.092889,0.244046,0.013625
306,2.550000,0.083087,0.003752,-0.069763,0.092883,0.244038,0.013642
307,2.558333,0.083087,0.003760,-0.069764,0.092886,0.244048,0.013632
308,2.566667,0.083091,0.003767,-0.069783,0.092886,0.244066,0.013615
309,2.575000,0.083090,0.003767,-0.069750,0.092885,0.244054,0.013643
310,2.583333,0.083090,0.003753,-0.069748,0.092887,0.244039,0.013643
311,2.591667,0.083092,0.003749,-0.069783,0.092893,0.244048,0.013608
312,2.600000,0.083090,0.003758,-0.069776,0.092889,0.244050,0.013626
313,2.608333,0.083092,0.003766,-0.069768,0.092888,0.244062,0.013623
314,2.616667,0.083092,0.003766,-0.069768,0.092888,0.244062,0.013623
315,2.625000,0.083089,0.003756,-0.069786,0.092886,0.244050,0.013620
316,2.633333,0.083084,0.003747,-0.069750,0.092879,0.244032,0.013648
317,2.641667,0.083087,0.003758,-0.069766,0.092886,0.244051,0.013623
318,2.650000,0.083092,0.003770,-0.069775,0.092892,0.244070,0.013606
319,2.658333,0.083091,0.003769,-0.069756,0.092890,0.244057,0.013634
320,2.666667,0.083092,0.003753,-0.069770,0.092891,0.244041,0.013639
321,2.675000,0.083091,0.003749,-0.069778,0.092889,0.244042,0.013620
322,2.683333,0.083086,0.003757,-0.069767,0.092884,0.244051,0.013623
323,2.691667,0.083086,0.003768,-0.069759,0.092880,0.244060,0.013632
