Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
98,0.816667,0.039986,-0.001600,0.037860,0.078194,-0.052816,0.044364,0.086159,-0.026877,0.002506,0.030872,-0.061237,0.060419
99,0.825000,0.039986,-0.001600,0.037860,0.078194,-0.052816,0.044364,0.086159,-0.026877,0.002506,0.030872,-0.061237,0.060419
100,0.833333,0.039982,-0.001606,0.037893,0.078188,-0.052819,0.044390,0.086150,-0.026877,0.002549,0.030860,-0.061236,0.060459
101,0.841667,0.039984,-0.001607,0.037889,0.078196,-0.052819,0.044353,0.086154,-0.026874,0.002523,0.030860,-0.061239,0.060469
102,0.850000,0.039985,-0.001608,0.037884,0.078196,-0.052821,0.044347,0.086154,-0.026878,0.002535,0.030858,-0.061240,0.060468
103,0.858333,0.039982,-0.001608,0.037889,0.078188,-0.052816,0.044367,0.086150,-0.026876,0.002546,0.030877,-0.061237,0.060382
104,0.866667,0.039984,-0.001604,0.037894,0.078189,-0.052820,0.044385,0.086150,-0.026876,0.002546,0.030861,-0.061237,0.060453
105,0.875000,0.039986,-0.001604,0.037868,0.078193,-0.052818,0.044376,0.086151,-0.026879,0.002553,0.030859,-0.061238,0.060475
106,0.883333,0.039988,-0.001602,0.037875,0.078188,-0.052820,0.044374,0.086154,-0.026877,0.002533,0.030861,-0.061236,0.060473
107,0.891667,0.039984,-0.001608,0.037881,0.078188,-0.052821,0.044396,0.086150,-0.026878,0.002569,0.030857,-0.061238,0.060483
108,0.900000,0.039987,-0.001604,0.037864,0.078183,-0.052820,0.044405,0.086150,-0.026880,0.002545,0.030858,-0.061237,0.060481
